1560953593.821207 server started (83070): version 2.7, socket /private/tmp/tmux-501/default, protocol 8
1560953593.821255 on Darwin 18.6.0 Darwin Kernel Version 18.6.0: Thu Apr 25 23:16:27 PDT 2019; root:xnu-4903.261.4~2/RELEASE_X86_64; libevent 2.1.8-stable (select)
1560953593.823064 add peer 0x108201000: 9 (0x7f9ccb003800)
1560953593.823102 new client 0x7f9ccb003800
1560953593.823193 loading /usr/local/etc/tmux.conf
1560953593.823214 loading /Users/james/.tmux.conf
1560953593.823482 /Users/james/.tmux.conf: source-file "${HOME}/configs/.tmux.conf"
1560953593.823519 /Users/james/.tmux.conf: source-file "${HOME}/.tmux-themepack/powerline/block/cyan.tmuxtheme"
1560953593.823559 server loop enter
1560953593.836091 xterm-256color 127: kf63: (string) \\033[1;4R
1560953593.836094 xterm-256color 128: kf7: (string) \\033[18~
1560953593.836098 xterm-256color 129: kf8: (string) \\033[19~
1560953593.836101 xterm-256color 130: kf9: (string) \\033[20~
1560953593.836105 xterm-256color 131: kHOM: (string) \\033[1;2H
1560953593.836108 xterm-256color 132: kHOM3: (string) \\033[1;3H
1560953593.836112 xterm-256color 133: kHOM4: (string) \\033[1;4H
1560953593.836122 xterm-256color 134: kHOM5: (string) \\033[1;5H
1560953593.836125 xterm-256color 135: kHOM6: (string) \\033[1;6H
1560953593.836129 xterm-256color 136: kHOM7: (string) \\033[1;7H
1560953593.836132 xterm-256color 137: khome: (string) \\033OH
1560953593.836136 xterm-256color 138: kIC: (string) \\033[2;2~
1560953593.836139 xterm-256color 139: kIC3: (string) \\033[2;3~
1560953593.836143 xterm-256color 140: kIC4: (string) \\033[2;4~
1560953593.836146 xterm-256color 141: kIC5: (string) \\033[2;5~
1560953593.836149 xterm-256color 142: kIC6: (string) \\033[2;6~
1560953593.836153 xterm-256color 143: kIC7: (string) \\033[2;7~
1560953593.836156 xterm-256color 144: kich1: (string) \\033[2~
1560953593.836160 xterm-256color 145: kind: (string) \\033[1;2B
1560953593.836163 xterm-256color 146: kLFT: (string) \\033[1;2D
1560953593.836167 xterm-256color 147: kLFT3: (string) \\033[1;3D
1560953593.836170 xterm-256color 148: kLFT4: (string) \\033[1;4D
1560953593.836174 xterm-256color 149: kLFT5: (string) \\033[1;5D
1560953593.836177 xterm-256color 150: kLFT6: (string) \\033[1;6D
1560953593.836180 xterm-256color 151: kLFT7: (string) \\033[1;7D
1560953593.836184 xterm-256color 152: kmous: (string) \\033[M
1560953593.836187 xterm-256color 153: knp: (string) \\033[6~
1560953593.836191 xterm-256color 154: kNXT: (string) \\033[6;2~
1560953593.836194 xterm-256color 155: kNXT3: (string) \\033[6;3~
1560953593.836198 xterm-256color 156: kNXT4: (string) \\033[6;4~
1560953593.836201 xterm-256color 157: kNXT5: (string) \\033[6;5~
1560953593.836205 xterm-256color 158: kNXT6: (string) \\033[6;6~
1560953593.836208 xterm-256color 159: kNXT7: (string) \\033[6;7~
1560953593.836211 xterm-256color 160: kpp: (string) \\033[5~
1560953593.836215 xterm-256color 161: kPRV: (string) \\033[5;2~
1560953593.836218 xterm-256color 162: kPRV3: (string) \\033[5;3~
1560953593.836222 xterm-256color 163: kPRV4: (string) \\033[5;4~
1560953593.836225 xterm-256color 164: kPRV5: (string) \\033[5;5~
1560953593.836229 xterm-256color 165: kPRV6: (string) \\033[5;6~
1560953593.836232 xterm-256color 166: kPRV7: (string) \\033[5;7~
1560953593.836235 xterm-256color 167: kri: (string) \\033[1;2A
1560953593.836239 xterm-256color 168: kRIT: (string) \\033[1;2C
1560953593.836242 xterm-256color 169: kRIT3: (string) \\033[1;3C
1560953593.836246 xterm-256color 170: kRIT4: (string) \\033[1;4C
1560953593.836249 xterm-256color 171: kRIT5: (string) \\033[1;5C
1560953593.836253 xterm-256color 172: kRIT6: (string) \\033[1;6C
1560953593.836256 xterm-256color 173: kRIT7: (string) \\033[1;7C
1560953593.836260 xterm-256color 174: kUP: (string) \\033[1;2A
1560953593.836263 xterm-256color 175: kUP3: (string) \\033[1;3A
1560953593.836267 xterm-256color 176: kUP4: (string) \\033[1;4A
1560953593.836270 xterm-256color 177: kUP5: (string) \\033[1;5A
1560953593.836274 xterm-256color 178: kUP6: (string) \\033[1;6A
1560953593.836278 xterm-256color 179: kUP7: (string) \\033[1;7A
1560953593.836282 xterm-256color 180: Ms: (string) \\033]52;%p1%s;%p2%s\\007
1560953593.836286 xterm-256color 181: op: (string) \\033[39;49m
1560953593.836289 xterm-256color 182: rev: (string) \\033[7m
1560953593.836293 xterm-256color 183: RGB: [missing]
1560953593.836296 xterm-256color 184: ri: (string) \\033M
1560953593.836300 xterm-256color 185: rmacs: (string) \\033(B
1560953593.836303 xterm-256color 186: rmcup: (string) \\033[?1049l
1560953593.836307 xterm-256color 187: rmkx: (string) \\033[?1l\\033>
1560953593.836311 xterm-256color 188: Se: (string) \\033[2 q
1560953593.836315 xterm-256color 189: setab: (string) \\033[%?%p1%{8}%<%t4%p1%d%e%p1%{16}%<%t10%p1%{8}%-%d%e48;5;%p1%d%;m
1560953593.836319 xterm-256color 190: setaf: (string) \\033[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m
1560953593.836323 xterm-256color 191: setrgbb: [missing]
1560953593.836326 xterm-256color 192: setrgbf: [missing]
1560953593.836330 xterm-256color 193: sgr0: (string) \\033(B\\033[m
1560953593.836333 xterm-256color 194: sitm: [missing]
1560953593.836349 xterm-256color 195: smacs: (string) \\033(0
1560953593.836364 xterm-256color 196: smcup: (string) \\033[?1049h
1560953593.836386 xterm-256color 197: smkx: (string) \\033[?1h\\033=
1560953593.836393 xterm-256color 198: smso: (string) \\033[7m
1560953593.836400 xterm-256color 199: smul: (string) \\033[4m
1560953593.836406 xterm-256color 200: smxx: [missing]
1560953593.836412 xterm-256color 201: Ss: (string) \\033[%p1%d q
1560953593.836417 xterm-256color 202: Tc: [missing]
1560953593.836423 xterm-256color 203: tsl: (string) \\033]0;
1560953593.836428 xterm-256color 204: U8: [missing]
1560953593.836434 xterm-256color 205: vpa: (string) \\033[%i%p1%dd
1560953593.836439 xterm-256color 206: xenl: (flag) true
1560953593.836445 xterm-256color 207: XT: (flag) true
1560953593.836516 /dev/ttys007: \033[?1049h
1560953593.836525 /dev/ttys007: \033[?1h\033=
1560953593.836532 /dev/ttys007: \033[H\033[2J
1560953593.836538 /dev/ttys007: using UTF-8 for ACS
1560953593.836544 /dev/ttys007: \033[?12l\033[?25h
1560953593.836550 /dev/ttys007: \033[?1000l\033[?1002l\033[?1006l\033[?1005l
1560953593.836556 /dev/ttys007: \033[?1004h
1560953593.836562 /dev/ttys007: \033[c
1560953593.836567 /dev/ttys007: \033(B\033[m
1560953593.836574 /dev/ttys007: \033[?12;25h
1560953593.836579 /dev/ttys007: \033[?12l\033[?25h
1560953593.836585 /dev/ttys007: \033[?1003l
1560953593.836590 /dev/ttys007: \033[?1006l
1560953593.836596 /dev/ttys007: \033[?2004l
1560953593.836607 /dev/ttys007: \033[1;1H
1560953593.836616 /dev/ttys007: \033[1;80r
1560953593.836622 /dev/ttys007: \033]112\a
1560953593.836637 new key \033Oo: 0x1000005d (KP/)
1560953593.836644 new key \033Oj: 0x1000005e (KP*)
1560953593.836651 new key \033Om: 0x1000005f (KP-)
1560953593.836657 new key \033Ow: 0x10000060 (KP7)
1560953593.836663 new key \033Ox: 0x10000061 (KP8)
1560953593.836669 new key \033Oy: 0x10000062 (KP9)
1560953593.836674 new key \033Ok: 0x10000063 (KP+)
1560953593.836680 new key \033Ot: 0x10000064 (KP4)
1560953593.836685 new key \033Ou: 0x10000065 (KP5)
1560953593.836691 new key \033Ov: 0x10000066 (KP6)
1560953593.836696 new key \033Oq: 0x10000067 (KP1)
1560953593.836702 new key \033Or: 0x10000068 (KP2)
1560953593.836708 new key \033Os: 0x10000069 (KP3)
1560953593.836714 new key \033OM: 0x1000006a (KPEnter)
1560953593.836720 new key \033Op: 0x1000006b (KP0)
1560953593.836728 new key \033On: 0x1000006c (KP.)
1560953593.836735 new key \033OA: 0x10000059 (Up)
1560953593.836741 new key \033OB: 0x1000005a (Down)
1560953593.836747 new key \033OC: 0x1000005c (Right)
1560953593.836753 new key \033OD: 0x1000005b (Left)
1560953593.836760 new key \033[A: 0x10000059 (Up)
1560953593.836766 new key \033[B: 0x1000005a (Down)
1560953593.836772 new key \033[C: 0x1000005c (Right)
1560953593.836781 new key \033[D: 0x1000005b (Left)
1560953593.836788 new key \033OH: 0x10000054 (Home)
1560953593.836796 new key \033OF: 0x10000055 (End)
1560953593.836803 new key \033[H: 0x10000054 (Home)
1560953593.836810 new key \033[F: 0x10000055 (End)
1560953593.836816 new key \033Oa: 0x400010000059 (C-Up)
1560953593.836822 new key \033Ob: 0x40001000005a (C-Down)
1560953593.836828 new key \033Oc: 0x40001000005c (C-Right)
1560953593.836834 new key \033Od: 0x40001000005b (C-Left)
1560953593.836840 new key \033[a: 0x800010000059 (S-Up)
1560953593.836846 new key \033[b: 0x80001000005a (S-Down)
1560953593.836852 new key \033[c: 0x80001000005c (S-Right)
1560953593.836858 new key \033[d: 0x80001000005b (S-Left)
1560953593.836865 new key \033[11^: 0x400010000046 (C-F1)
1560953593.836871 new key \033[12^: 0x400010000047 (C-F2)
1560953593.836878 new key \033[13^: 0x400010000048 (C-F3)
1560953593.836884 new key \033[14^: 0x400010000049 (C-F4)
1560953593.836891 new key \033[15^: 0x40001000004a (C-F5)
1560953593.836897 new key \033[17^: 0x40001000004b (C-F6)
1560953593.836903 new key \033[18^: 0x40001000004c (C-F7)
1560953593.836909 new key \033[19^: 0x40001000004d (C-F8)
1560953593.836916 new key \033[20^: 0x40001000004e (C-F9)
1560953593.836923 new key \033[21^: 0x40001000004f (C-F10)
1560953593.836929 new key \033[23^: 0x400010000050 (C-F11)
1560953593.836936 new key \033[24^: 0x400010000051 (C-F12)
1560953593.836942 new key \033[2^: 0x400010000052 (C-IC)
1560953593.836963 new key \033[3^: 0x400010000053 (C-DC)
1560953593.836973 new key \033[7^: 0x400010000054 (C-Home)
1560953593.836980 new key \033[8^: 0x400010000055 (C-End)
1560953593.836986 new key \033[6^: 0x400010000056 (C-NPage)
1560953593.836992 new key \033[5^: 0x400010000057 (C-PPage)
1560953593.836999 new key \033[11$: 0x800010000046 (S-F1)
1560953593.837005 new key \033[12$: 0x800010000047 (S-F2)
1560953593.837011 new key \033[13$: 0x800010000048 (S-F3)
1560953593.837017 new key \033[14$: 0x800010000049 (S-F4)
1560953593.837023 new key \033[15$: 0x80001000004a (S-F5)
1560953593.837028 new key \033[17$: 0x80001000004b (S-F6)
1560953593.837034 new key \033[18$: 0x80001000004c (S-F7)
1560953593.837040 new key \033[19$: 0x80001000004d (S-F8)
1560953593.837046 new key \033[20$: 0x80001000004e (S-F9)
1560953593.837051 new key \033[21$: 0x80001000004f (S-F10)
1560953593.837058 new key \033[23$: 0x800010000050 (S-F11)
1560953593.837064 new key \033[24$: 0x800010000051 (S-F12)
1560953593.837070 new key \033[2$: 0x800010000052 (S-IC)
1560953593.837076 new key \033[3$: 0x800010000053 (S-DC)
1560953593.837082 new key \033[7$: 0x800010000054 (S-Home)
1560953593.837089 new key \033[8$: 0x800010000055 (S-End)
1560953593.837095 new key \033[6$: 0x800010000056 (S-NPage)
1560953593.837101 new key \033[5$: 0x800010000057 (S-PPage)
1560953593.837108 new key \033[11@: 0xc00010000046 (C-S-F1)
1560953593.837114 new key \033[12@: 0xc00010000047 (C-S-F2)
1560953593.837121 new key \033[13@: 0xc00010000048 (C-S-F3)
1560953593.837127 new key \033[14@: 0xc00010000049 (C-S-F4)
1560953593.837133 new key \033[15@: 0xc0001000004a (C-S-F5)
1560953593.837140 new key \033[17@: 0xc0001000004b (C-S-F6)
1560953593.837146 new key \033[18@: 0xc0001000004c (C-S-F7)
1560953593.837153 new key \033[19@: 0xc0001000004d (C-S-F8)
1560953593.837159 new key \033[20@: 0xc0001000004e (C-S-F9)
1560953593.837165 new key \033[21@: 0xc0001000004f (C-S-F10)
1560953593.837171 new key \033[23@: 0xc00010000050 (C-S-F11)
1560953593.837177 new key \033[24@: 0xc00010000051 (C-S-F12)
1560953593.837183 new key \033[2@: 0xc00010000052 (C-S-IC)
1560953593.837189 new key \033[3@: 0xc00010000053 (C-S-DC)
1560953593.837195 new key \033[7@: 0xc00010000054 (C-S-Home)
1560953593.837201 new key \033[8@: 0xc00010000055 (C-S-End)
1560953593.837207 new key \033[6@: 0xc00010000056 (C-S-NPage)
1560953593.837213 new key \033[5@: 0xc00010000057 (C-S-PPage)
1560953593.837219 new key \033[I: 0x10000000 (FocusIn)
1560953593.837225 new key \033[O: 0x10000001 (FocusOut)
1560953593.837231 new key \033[200~: 0x10000002 (PasteStart)
1560953593.837237 new key \033[201~: 0x10000003 (PasteEnd)
1560953593.837242 new key \033OP: 0x10000046 (F1)
1560953593.837248 new key \033OQ: 0x10000047 (F2)
1560953593.837254 new key \033OR: 0x10000048 (F3)
1560953593.837260 new key \033OS: 0x10000049 (F4)
1560953593.837266 new key \033[15~: 0x1000004a (F5)
1560953593.837272 new key \033[17~: 0x1000004b (F6)
1560953593.837278 new key \033[18~: 0x1000004c (F7)
1560953593.837284 new key \033[19~: 0x1000004d (F8)
1560953593.837290 new key \033[20~: 0x1000004e (F9)
1560953593.837296 new key \033[21~: 0x1000004f (F10)
1560953593.837301 new key \033[23~: 0x10000050 (F11)
1560953593.837307 new key \033[24~: 0x10000051 (F12)
1560953593.837313 new key \033[1;2P: 0x800010000046 (S-F1)
1560953593.837320 new key \033[1;2Q: 0x800010000047 (S-F2)
1560953593.837326 new key \033[1;2R: 0x800010000048 (S-F3)
1560953593.837332 new key \033[1;2S: 0x800010000049 (S-F4)
1560953593.837338 new key \033[15;2~: 0x80001000004a (S-F5)
1560953593.837345 new key \033[17;2~: 0x80001000004b (S-F6)
1560953593.837351 new key \033[18;2~: 0x80001000004c (S-F7)
1560953593.837357 new key \033[19;2~: 0x80001000004d (S-F8)
1560953593.837363 new key \033[20;2~: 0x80001000004e (S-F9)
1560953593.837370 new key \033[21;2~: 0x80001000004f (S-F10)
1560953593.837376 new key \033[23;2~: 0x800010000050 (S-F11)
1560953593.837382 new key \033[24;2~: 0x800010000051 (S-F12)
1560953593.837389 new key \033[1;5P: 0x400010000046 (C-F1)
1560953593.837409 new key \033[1;5Q: 0x400010000047 (C-F2)
1560953593.837416 new key \033[1;5R: 0x400010000048 (C-F3)
1560953593.837422 new key \033[1;5S: 0x400010000049 (C-F4)
1560953593.837428 new key \033[15;5~: 0x40001000004a (C-F5)
1560953593.837435 new key \033[17;5~: 0x40001000004b (C-F6)
1560953593.837441 new key \033[18;5~: 0x40001000004c (C-F7)
1560953593.837447 new key \033[19;5~: 0x40001000004d (C-F8)
1560953593.837454 new key \033[20;5~: 0x40001000004e (C-F9)
1560953593.837460 new key \033[21;5~: 0x40001000004f (C-F10)
1560953593.837466 new key \033[23;5~: 0x400010000050 (C-F11)
1560953593.837473 new key \033[24;5~: 0x400010000051 (C-F12)
1560953593.837479 new key \033[1;6P: 0xc00010000046 (C-S-F1)
1560953593.837486 new key \033[1;6Q: 0xc00010000047 (C-S-F2)
1560953593.837491 new key \033[1;6R: 0xc00010000048 (C-S-F3)
1560953593.837497 new key \033[1;6S: 0xc00010000049 (C-S-F4)
1560953593.837503 new key \033[15;6~: 0xc0001000004a (C-S-F5)
1560953593.837508 new key \033[17;6~: 0xc0001000004b (C-S-F6)
1560953593.837514 new key \033[18;6~: 0xc0001000004c (C-S-F7)
1560953593.837520 new key \033[19;6~: 0xc0001000004d (C-S-F8)
1560953593.837526 new key \033[20;6~: 0xc0001000004e (C-S-F9)
1560953593.837533 new key \033[21;6~: 0xc0001000004f (C-S-F10)
1560953593.837539 new key \033[23;6~: 0xc00010000050 (C-S-F11)
1560953593.837546 new key \033[24;6~: 0xc00010000051 (C-S-F12)
1560953593.837552 new key \033[1;3P: 0x200010000046 (M-F1)
1560953593.837559 new key \033[1;3Q: 0x200010000047 (M-F2)
1560953593.837565 new key \033[1;3R: 0x200010000048 (M-F3)
1560953593.837571 new key \033[1;3S: 0x200010000049 (M-F4)
1560953593.837577 new key \033[15;3~: 0x20001000004a (M-F5)
1560953593.837581 new key \033[17;3~: 0x20001000004b (M-F6)
1560953593.837584 new key \033[18;3~: 0x20001000004c (M-F7)
1560953593.837601 new key \033[19;3~: 0x20001000004d (M-F8)
1560953593.837605 new key \033[20;3~: 0x20001000004e (M-F9)
1560953593.837608 new key \033[21;3~: 0x20001000004f (M-F10)
1560953593.837629 new key \033[23;3~: 0x200010000050 (M-F11)
1560953593.837634 new key \033[24;3~: 0x200010000051 (M-F12)
1560953593.837638 new key \033[1;4P: 0xa00010000046 (M-S-F1)
1560953593.837642 new key \033[1;4Q: 0xa00010000047 (M-S-F2)
1560953593.837645 new key \033[1;4R: 0xa00010000048 (M-S-F3)
1560953593.837649 new key \033[2~: 0x10000052 (IC)
1560953593.837653 new key \033[3~: 0x10000053 (DC)
1560953593.837656 replacing key \033OH: 0x10000054 (Home)
1560953593.837660 replacing key \033OF: 0x10000055 (End)
1560953593.837664 new key \033[6~: 0x10000056 (NPage)
1560953593.837667 new key \033[5~: 0x10000057 (PPage)
1560953593.837671 new key \033[Z: 0x10000058 (BTab)
1560953593.837675 replacing key \033OA: 0x10000059 (Up)
1560953593.837678 replacing key \033OB: 0x1000005a (Down)
1560953593.837682 replacing key \033OD: 0x1000005b (Left)
1560953593.837685 replacing key \033OC: 0x1000005c (Right)
1560953593.837689 new key \033[3;2~: 0x1800010000053 (S-DC)
1560953593.837693 new key \033[3;3~: 0x1200010000053 (M-DC)
1560953593.837696 new key \033[3;4~: 0x1a00010000053 (M-S-DC)
1560953593.837700 new key \033[3;5~: 0x1400010000053 (C-DC)
1560953593.837704 new key \033[3;6~: 0x1c00010000053 (C-S-DC)
1560953593.837708 new key \033[3;7~: 0x1600010000053 (C-M-DC)
1560953593.837712 new key \033[1;2B: 0x180001000005a (S-Down)
1560953593.837716 replacing key \033[1;2B: 0x180001000005a (S-Down)
1560953593.837719 new key \033[1;3B: 0x120001000005a (M-Down)
1560953593.837723 new key \033[1;4B: 0x1a0001000005a (M-S-Down)
1560953593.837727 new key \033[1;5B: 0x140001000005a (C-Down)
1560953593.837731 new key \033[1;6B: 0x1c0001000005a (C-S-Down)
1560953593.837734 new key \033[1;7B: 0x160001000005a (C-M-Down)
1560953593.837738 new key \033[1;2F: 0x1800010000055 (S-End)
1560953593.837742 new key \033[1;3F: 0x1200010000055 (M-End)
1560953593.837746 new key \033[1;4F: 0x1a00010000055 (M-S-End)
1560953593.837749 new key \033[1;5F: 0x1400010000055 (C-End)
1560953593.837753 new key \033[1;6F: 0x1c00010000055 (C-S-End)
1560953593.837757 new key \033[1;7F: 0x1600010000055 (C-M-End)
1560953593.837769 new key \033[1;2H: 0x1800010000054 (S-Home)
1560953593.837773 new key \033[1;3H: 0x1200010000054 (M-Home)
1560953593.837776 new key \033[1;4H: 0x1a00010000054 (M-S-Home)
1560953593.837780 new key \033[1;5H: 0x1400010000054 (C-Home)
1560953593.837784 new key \033[1;6H: 0x1c00010000054 (C-S-Home)
1560953593.837788 new key \033[1;7H: 0x1600010000054 (C-M-Home)
1560953593.837791 new key \033[2;2~: 0x1800010000052 (S-IC)
1560953593.837795 new key \033[2;3~: 0x1200010000052 (M-IC)
1560953593.837799 new key \033[2;4~: 0x1a00010000052 (M-S-IC)
1560953593.837803 new key \033[2;5~: 0x1400010000052 (C-IC)
1560953593.837806 new key \033[2;6~: 0x1c00010000052 (C-S-IC)
1560953593.837810 new key \033[2;7~: 0x1600010000052 (C-M-IC)
1560953593.837816 new key \033[1;2D: 0x180001000005b (S-Left)
1560953593.837820 new key \033[1;3D: 0x120001000005b (M-Left)
1560953593.837824 new key \033[1;4D: 0x1a0001000005b (M-S-Left)
1560953593.837828 new key \033[1;5D: 0x140001000005b (C-Left)
1560953593.837831 new key \033[1;6D: 0x1c0001000005b (C-S-Left)
1560953593.837835 new key \033[1;7D: 0x160001000005b (C-M-Left)
1560953593.837839 new key \033[6;2~: 0x1800010000056 (S-NPage)
1560953593.837843 new key \033[6;3~: 0x1200010000056 (M-NPage)
1560953593.837846 new key \033[6;4~: 0x1a00010000056 (M-S-NPage)
1560953593.837850 new key \033[6;5~: 0x1400010000056 (C-NPage)
1560953593.837854 new key \033[6;6~: 0x1c00010000056 (C-S-NPage)
1560953593.837857 new key \033[6;7~: 0x1600010000056 (C-M-NPage)
1560953593.837861 new key \033[5;2~: 0x1800010000057 (S-PPage)
1560953593.837865 new key \033[5;3~: 0x1200010000057 (M-PPage)
1560953593.837869 new key \033[5;4~: 0x1a00010000057 (M-S-PPage)
1560953593.837872 new key \033[5;5~: 0x1400010000057 (C-PPage)
1560953593.837876 new key \033[5;6~: 0x1c00010000057 (C-S-PPage)
1560953593.837880 new key \033[5;7~: 0x1600010000057 (C-M-PPage)
1560953593.837884 new key \033[1;2C: 0x180001000005c (S-Right)
1560953593.837887 new key \033[1;3C: 0x120001000005c (M-Right)
1560953593.837891 new key \033[1;4C: 0x1a0001000005c (M-S-Right)
1560953593.837895 new key \033[1;5C: 0x140001000005c (C-Right)
1560953593.837899 new key \033[1;6C: 0x1c0001000005c (C-S-Right)
1560953593.837902 new key \033[1;7C: 0x160001000005c (C-M-Right)
1560953593.837906 new key \033[1;2A: 0x1800010000059 (S-Up)
1560953593.837910 replacing key \033[1;2A: 0x1800010000059 (S-Up)
1560953593.837913 new key \033[1;3A: 0x1200010000059 (M-Up)
1560953593.837917 new key \033[1;4A: 0x1a00010000059 (M-S-Up)
1560953593.837920 new key \033[1;5A: 0x1400010000059 (C-Up)
1560953593.837924 new key \033[1;6A: 0x1c00010000059 (C-S-Up)
1560953593.837928 new key \033[1;7A: 0x1600010000059 (C-M-Up)
1560953593.837944 new session 0 $0
1560953593.837949 session 0 activity 1560953593.837948 (last 0.000000)
1560953593.837995 @0 alerts timer reset 0
1560953593.837999 @0 alerts flags added 0x2
1560953593.838022 window_add_pane: @0 at start
1560953593.838032 spawn: /bin/zsh -- 
1560953593.838036 spawn: Apple_PubSub_Socket_Render=/private/tmp/com.apple.launchd.LNpT88TrWB/Render
1560953593.838040 spawn: CLICOLOR=1
1560953593.838043 spawn: COLORFGBG=15;0
1560953593.838072 spawn: COLORTERM=truecolor
1560953593.838078 spawn: GEM_HOME=/Users/james/.rvm/gems/ruby-2.4.2
1560953593.838084 spawn: GEM_PATH=/Users/james/.rvm/gems/ruby-2.4.2:/Users/james/.rvm/gems/ruby-2.4.2@global
1560953593.838102 spawn: HOME=/Users/james
1560953593.838108 spawn: IRBRC=/Users/james/.rvm/rubies/ruby-2.4.2/.irbrc
1560953593.838113 spawn: ITERM_PROFILE=Default
1560953593.838119 spawn: ITERM_SESSION_ID=w0t2p0:3632FEDC-84AA-43C1-9FCC-949E467DA1E4
1560953593.838125 spawn: LANG=en_US.UTF-8
1560953593.838131 spawn: LC_CTYPE=en_US.UTF-8
1560953593.838137 spawn: LESS=-R
1560953593.838143 spawn: LOGNAME=james
1560953593.838149 spawn: LSCOLORS=DxGxxxxxbxxxbxbxFxFx
1560953593.838156 spawn: MY_RUBY_HOME=/Users/james/.rvm/rubies/ruby-2.4.2
1560953593.838162 spawn: NVM_BIN=/Users/james/.nvm/versions/node/v8.11.2/bin
1560953593.838168 spawn: NVM_CD_FLAGS=-q
1560953593.838174 spawn: NVM_DIR=/Users/james/.nvm
1560953593.838194 spawn: OLDPWD=/Users/james/Documents/urbanstemsdev/urbanstems-admin
1560953593.838201 spawn: PAGER=less
1560953593.838211 spawn: PATH=/Users/james/.rvm/gems/ruby-2.4.2/bin:/Users/james/.rvm/gems/ruby-2.4.2@global/bin:/Users/james/.rvm/rubies/ruby-2.4.2/bin:/Users/james/.nvm/versions/node/v8.11.2/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Applications/Postgres.app/Contents/Versions/latest/bin:/Users/james/.rvm/bin:/Users/james/.rvm/bin
1560953593.838218 spawn: PWD=/Users/james/configs
1560953593.838225 spawn: RUBY_VERSION=ruby-2.4.2
1560953593.838231 spawn: SHELL=/bin/zsh
1560953593.838236 spawn: SHLVL=1
1560953593.838243 spawn: SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.ZaEaxMeSpO/Listeners
1560953593.838248 spawn: TERM=screen-256color
1560953593.838254 spawn: TERM_PROGRAM=iTerm.app
1560953593.838260 spawn: TERM_PROGRAM_VERSION=3.2.9
1560953593.838266 spawn: TERM_SESSION_ID=w0t2p0:3632FEDC-84AA-43C1-9FCC-949E467DA1E4
1560953593.838283 spawn: TMPDIR=/var/folders/lp/pdssp26s561dy0kqr6hsb4q00000gn/T/
1560953593.838298 spawn: TMUX=/private/tmp/tmux-501/default,83070,0
1560953593.838302 spawn: USER=james
1560953593.838306 spawn: XPC_FLAGS=0x0
1560953593.838310 spawn: XPC_SERVICE_NAME=0
1560953593.838313 spawn: ZSH=/Users/james/.oh-my-zsh
1560953593.838317 spawn: _=/usr/local/bin/tmux
1560953593.838321 spawn: __CF_USER_TEXT_ENCODING=0x0:0:0
1560953593.838324 spawn: _system_arch=x86_64
1560953593.838328 spawn: _system_name=OSX
1560953593.838331 spawn: _system_type=Darwin
1560953593.838335 spawn: _system_version=10.14
1560953593.838339 spawn: is_vim=ps -o state= -o comm= -t '#{pane_tty}'     | grep -iqE '^[^TXZ ]+ +(\\S+\\/)?g?(view|n?vim?x?)(diff)?$'
1560953593.838343 spawn: rvm_alias_expanded=
1560953593.838346 spawn: rvm_bin_flag=
1560953593.838350 spawn: rvm_bin_path=/Users/james/.rvm/bin
1560953593.838353 spawn: rvm_docs_type=
1560953593.838357 spawn: rvm_gemstone_package_file=
1560953593.838360 spawn: rvm_gemstone_url=
1560953593.838364 spawn: rvm_hook=
1560953593.838367 spawn: rvm_niceness=
1560953593.838370 spawn: rvm_nightly_flag=
1560953593.838374 spawn: rvm_only_path_flag=
1560953593.838377 spawn: rvm_path=/Users/james/.rvm
1560953593.838381 spawn: rvm_prefix=/Users/james
1560953593.838384 spawn: rvm_pretty_print_flag=
1560953593.838388 spawn: rvm_proxy=
1560953593.838391 spawn: rvm_quiet_flag=
1560953593.838394 spawn: rvm_ruby_bits=
1560953593.838398 spawn: rvm_ruby_file=
1560953593.838401 spawn: rvm_ruby_make=
1560953593.838405 spawn: rvm_ruby_make_install=
1560953593.838408 spawn: rvm_ruby_mode=
1560953593.838411 spawn: rvm_script_name=
1560953593.838415 spawn: rvm_sdk=
1560953593.838418 spawn: rvm_silent_flag=
1560953593.838421 spawn: rvm_use_flag=
1560953593.838425 spawn: rvm_version=1.29.4 (latest)
1560953593.838831 window_add_ref: @0 notify_add, now 1
1560953593.838857 window_add_ref: @0 winlink_set_window, now 2
1560953593.838896 cmd_find_from_session_window: s=$0
1560953593.838901 cmd_find_from_session_window: wl=0 1 w=@0 zsh
1560953593.838905 cmd_find_from_session_window: wp=%0
1560953593.838908 cmd_find_from_session_window: idx=0
1560953593.838915 session_add_ref: 0 notify_add, now 2
1560953593.838919 window_add_ref: @0 notify_add, now 3
1560953593.838923 session_add_ref: 0 notify_add, now 3
1560953593.838928 @0 alerts timer reset 0
1560953593.838932 @0 alerts flags added 0x2
1560953593.838936 cmd_find_from_session: s=$0
1560953593.838939 cmd_find_from_session: wl=0 1 w=@0 zsh
1560953593.838943 cmd_find_from_session: wp=%0
1560953593.838946 cmd_find_from_session: idx=none
1560953593.838950 session_add_ref: 0 notify_add, now 4
1560953593.838953 session_add_ref: 0 notify_add, now 5
1560953593.838957 session 0 created
1560953593.838971 cmd_find_from_session: s=$0
